,wardNo,wardName,Employed,Unemployment,totalWorkForce
193,194,Kottiyoor,5533,11235,16768
194,195,Kunhimangalam,6258,12707,18965
195,196,Kurumathur,10238,20785,31023
196,197,Kuttiattur,8555,17370,25925
197,198,Madayi,11843,24045,35888
198,199,Malapattom,3177,6451,9628
199,200,Mangattidam,11435,23217,34652
200,201,Mattool,9176,18630,27806
201,202,Mayyil,9784,19865,29649
202,203,Mokeri,6496,13188,19684
203,204,Munderi,12220,24809,37029
204,205,Muzhakkunnu,7196,14611,21807
205,206,Muzhappilangad,7824,15885,23709
206,207,Naduvil,10293,20897,31190
207,208,Narath,8834,17935,26769
208,209,New Mahi,5380,10923,16303
209,210,Padiyur kalliad,7103,14421,21524
210,211,Panniyannur,7362,14946,22308
211,212,Pappinisseri,11594,23540,35134
212,213,Pariyaram,10850,22028,32878
213,214,Pattiam,10066,20436,30502
214,215,Pattuvam,5167,10492,15659
215,216,Payam,9305,18891,28196
216,217,Payyavoor,7589,15409,22998
217,218,Peralasseri,9605,19502,29107
218,219,Peringome Vayakkara,9693,19681,29374
219,220,Pinarayi,11123,22583,33706
220,221,Ramanthali,8485,17226,25711
221,222,Thilankeri,4812,9771,14583
222,223,Triprangottur,9871,20040,29911
223,224,Valapattanam,2625,5330,7955
224,225,Ajanoor,17204,31949,49153
225,226,Badiyadka,11972,22235,34207
226,227,Balal,8284,15386,23670
227,228,Bedaduka,9754,18114,27868
228,229,Belloor,3584,6657,10241
229,230,Chemnad,19161,35586,54747
230,231,Chengala,19873,36908,56781
231,232,Delampady,7971,14802,22773
232,233,Enmakaje,9388,17436,26824
233,234,Kallar,6795,12619,19414
234,235,Karadka,7424,13787,21211
235,236,Kayyur Cheemeni,8223,15272,23495
236,237,Kodombellur,11624,21587,33211
237,238,Kumbadaje,5170,9602,14772
238,239,Kuttikol,8723,16200,24923
239,240,Madhur,14512,26951,41463
240,241,Madikkai,7717,14333,22050
241,242,Mangalpady,16954,31487,48441
242,243,Manjewswaram,14530,26985,41515
243,244,Meenja,8161,15157,23318
244,245,Mogral Puthur,8694,16145,24839
245,246,Muliyar,8783,16312,25095
246,247,Padne,7747,14387,22134
247,248,Paivalike,11996,22278,34274
248,249,Pallikkara,15139,28116,43255
249,250,Panathady,8042,14934,22976
250,251,Pilicode,8793,16329,25122
251,252,Pullurperiya,10375,19267,29642
252,253,Puthige,7638,14185,21823
253,254,Thrikkaripur,13540,25147,38687
254,255,Udma,13138,24399,37537
255,256,Vorkady,9015,16741,25756
256,257,West Eleri,10261,19055,29316
257,258,Adichanalloor,11773,21865,33638
258,259,Alappad,7579,14076,21655
259,260,Alayamon,7038,13070,20108
260,261,Anchal,11581,21507,33088
261,262,Ariencavu,3897,7236,11133
262,263,Chadayamangalam,7866,14607,22473
263,264,Chavara,14929,27726,42655
264,265,Chirakkara,7934,14735,22669
265,266,Chithara,15884,29499,45383
266,267,Clappana,7787,14463,22250
267,268,Edamulakkal,13735,25509,39244
268,269,Elamadu,9537,17711,27248
269,270,Elampalloor,13488,25048,38536
270,271,Ezhukone,8488,15763,24251
271,272,Ittiva,12660,23512,36172
272,273,Kadakkal,10752,19967,30719
273,274,Kalluvathukkal,18389,34152,52541
274,275,Karavaloor,8381,15566,23947
275,276,Kareepra,10420,19351,29771
276,277,Kottamkara,13872,25763,39635
277,278,Kulakkada,11345,21070,32415
278,279,Kulasekharapuram,17205,31952,49157
279,280,Kummil,7134,13249,20383
280,281,Kunnathoor,8753,16256,25009
281,282,Mayyanad,18162,33729,51891
282,283,Melila,7678,14258,21936
283,284,Muntrothuruthu,3304,6136,9440
284,285,Mylam,11932,22158,34090
285,286,Mynagappally,14359,26668,41027
286,287,Nedumpana,17984,33400,51384
287,288,Neduvathoor,10369,19258,29627
288,289,Nilamel,5388,10007,15395
289,290,Oachira,9944,18468,28412
290,291,Panayam,9389,17436,26825
291,292,Panmana,17500,32501,50001
292,293,Pathanapuram,11081,20579,31660
293,294,Pattazhi,6201,11517,17718
294,295,Pattazhi Vadakkekara,5306,9854,15160
295,296,Pavithreswaram,11134,20676,31810
296,297,Perinad,11884,22071,33955
297,298,Piravanthoor,11870,22044,33914
298,299,Poothakkulam,10309,19144,29453
299,300,Pooyappally,8556,15891,24447
300,301,Poruvazhy,10053,18669,28722
301,302,Sasthamcotta,11650,21635,33285
302,303,Sooranad North,9965,18506,28471
303,304,Sooranad South,8668,16098,24766
304,305,Thalavoor,11980,22248,34228
305,306,Thazhava,14200,26371,40571
306,307,Thekkumbhagom,5928,11009,16937
307,308,Thenmala,8244,15311,23555
308,309,Thevalakkara,15042,27935,42977
309,310,Thodiyoor,16662,30945,47607
310,311,Thrikkaruva,8901,16531,25432
311,312,Thrikkovilvattom,21450,39837,61287
312,313,Ummannoor,11826,21964,33790
313,314,Velinalloor,10102,18762,28864
314,315,Veliyam,11210,20820,32030
315,316,Vettikkavala,12671,23533,36204
316,317,Vilakkudy,11548,21447,32995
317,318,West Kallada,6362,11814,18176
318,319,Aimanam,12915,21991,34906
319,320,Akalakunnam,7296,12422,19718
320,321,Arpookara,8809,15000,23809
321,322,Athirampuzha,14873,25323,40196
322,323,Ayarkkunnam,12785,21770,34555
323,324,Bharananganam,5864,9984,15848
324,325,Chempu,7788,13261,21049
325,326,Chirakkadavu,13381,22783,36164
326,327,Elikulam,9065,15434,24499
327,328,Erumeli,16011,27262,43273
328,329,Kadanad,6932,11802,18734
329,330,Kaduthuruthy,11782,20062,31844
330,331,Kallara,5018,8544,13562
331,332,Kanakkari,8415,14329,22744
332,333,Kangazha,7443,12672,20115
333,334,Kanjirappally,15931,27126,43057
334,335,Karukachal,8743,14888,23631
335,336,Kidangoor,7867,13394,21261
336,337,Kooroppada,10351,17626,27977
337,338,Koottickal,5282,8995,14277
338,339,Kumarakom,8272,14086,22358
339,340,Kuravilangad,6672,11361,18033
340,341,Madappally,13041,22204,35245
341,342,Manarcad,10204,17375,27579
342,343,Manimala,7790,13263,21053
343,344,Manjoor,10319,17569,27888
344,345,Meenachil,6239,10624,16863
345,346,Meenadom,4955,8438,13393
346,347,Melukavu,4246,7230,11476
347,348,Moonilavu,3230,5501,8731
348,349,Mulakulam,9545,16253,25798
349,350,Mundakayam,14225,24220,38445
350,351,Nedumkunnam,8029,13671,21700
351,352,Njeezhoor,6527,11113,17640
352,353,Paippad,8853,15075,23928
353,354,Pampady,12211,20793,33004
354,355,Panachikkad,15799,26902,42701
355,356,Poonjar,4680,7969,12649
356,357,Poonjar Thekkekara,6508,11080,17588
357,358,Puthuppally,11020,18764,29784
358,359,Ramapuram,10876,18519,29395
359,360,Teekoy,4015,6837,10852
360,361,Thalappalam,4944,8417,13361
361,362,Thalayazham,7456,12695,20151
362,363,Thiruvarpu,10891,18544,29435
363,364,Thrikkodithanam,13285,22621,35906
364,365,Uzhavoor,5305,9034,14339
365,366,Vakathanam,12414,21136,33550
366,367,Vazhappally,13246,22554,35800
367,368,Vazhoor,9313,15856,25169
368,369,Vechoor,6305,10736,17041
369,370,Veliyannoor,4142,7053,11195
370,371,Vellavoor,6333,10782,17115
371,372,Velloor,8430,14355,22785
372,373,Balusseri,8483,18880,27363
373,374,Koorachundu,5278,11749,17027
374,375,Kottur,9604,21378,30982
375,376,Naduvannur,8053,17926,25979
376,377,Panangad,10531,23440,33971
377,378,Ulliyeri,10078,22431,32509
378,379,Unnikulum,15298,34050,49348
379,380,Chelannur,12616,28081,40697
380,381,Kakkodi,13288,29578,42866
381,382,Kakkur,7064,15724,22788
382,383,Nanmanda,8468,18848,27316
383,384,Narikunni,7530,16760,24290
384,385,Thalakulathur,9110,20278,29388
385,386,Kizhakkoth,9691,21570,31261
386,387,Kodencheri,10805,24049,34854
387,388,Koodaranji,5790,12888,18678
388,389,Madavoor,8888,19784,28672
389,390,Puthuppady,13046,29037,42083
390,391,Thiruvambadi,8934,19886,28820
391,392,Olavanna,21214,47218,68432
392,393,Chathamangalam,14473,32215,46688
393,394,Kodiyathur,8784,19551,28335
394,395,Kunnamangalam,16499,36724,53223
395,396,Kuruvattur,10615,23626,34241
396,397,Mavoor,9232,20549,29781
397,398,Perumanna,10993,24467,35460
398,399,Peruvayal,14787,32913,47700
399,400,Kavilumpara,7077,15751,22828
400,401,Kayakkodi,7619,16959,24578
401,402,Kunnummal,5590,12441,18031
402,403,Kuttiadi,5999,13352,19351
403,404,Maruthomkara,6160,13711,19871
404,405,Naripetta,8224,18305,26529
405,406,Meppayur,8658,19271,27929
406,407,Thikkodi,8386,18665,27051
407,408,Thurayur,4395,9781,14176
408,409,Arikulam,5697,12681,18378
409,410,Atholi,8746,19467,28213
410,411,Chemanachery,10794,24025,34819
411,412,Chengottukavu,8305,18486,26791
412,413,Moodadi,9353,20817,30170
413,414,Chakittapara,6537,14549,21086
414,415,Changaroth,9953,22154,32107
415,416,Cheruvannur,7250,16138,23388
416,417,Koothali,5260,11709,16969
417,418,Nochad,8326,18531,26857
418,419,Perambra,10163,22621,32784
419,420,Ayancheri,8151,18142,26293
420,421,Maniyur,12388,27573,39961
421,422,Thiruvallur,11035,24563,35598
422,423,Villiyappally,10696,23806,34502
423,424,Chekkiad,7516,16730,24246
424,425,Edacheri,8314,18505,26819
425,426,Purameri,8560,19052,27612
426,427,Thuneri,7261,16160,23421
427,428,Valayam,5696,12678,18374
428,429,Vanimel,7878,17534,25412
429,430,Azhiyur,9307,20716,30023
430,431,Chorode,11856,26389,38245
431,432,Eramala,10744,23914,34658
432,433,Onchiyam,8882,19768,28650
433,434,Abdul Rahiman Nagar,10918,31075,41993
434,435,Alamcode,8819,25099,33918
435,436,Aliparamba,10848,30877,41725
436,437,Amarambalam,9354,26621,35975
437,438,Angadipuram,14677,41774,56451
438,439,Areekkode,8206,23357,31563
439,440,Athavanad,10709,30478,41187
440,441,Chekkode,8545,24322,32867
441,442,Chelambra,8879,25270,34149
442,443,Cheriyamundam,8115,23097,31212
443,444,Cherukavu,9561,27212,36773
444,445,Chungathara,9430,26839,36269
445,446,Edakkara,7322,20840,28162
446,447,Edappal,8463,24087,32550
447,448,Edappatta,5910,16819,22729
448,449,Edavanna,11993,34135,46128
449,450,Edayoor,9489,27009,36498
450,451,Elamkulam,6879,19577,26456
451,452,Irimbiliyam,7965,22670,30635
452,453,Kalady,6727,19145,25872
453,454,Kalikavu,9155,26055,35210
454,455,Kalpakancheri,8767,24954,33721
455,456,Kannamangalam,10728,30532,41260
456,457,Karulai,6052,17225,23277
457,458,Karuvarakundu,10812,30771,41583
458,459,Kavannur,9874,28103,37977
459,460,Keezhattur,9442,26875,36317
460,461,Keezhuparamba,5736,16326,22062
461,462,Kodur,9947,28311,38258
462,463,Koottilangadi,9517,27085,36602
463,464,Kuruva,11792,33562,45354
464,465,Kuttippuram,12226,34797,47023
465,466,Kuzhimanna,8947,25466,34413
466,467,Mampad,9677,27544,37221
467,468,Mangalam,8695,24747,33442
468,469,Mankada,8514,24234,32748
469,470,Marakkara,10505,29899,40404
470,471,Maranchery,9103,25908,35011
471,472,Melattur,7085,20165,27250
472,473,Moonniyur,14439,41096,55535
473,474,Moorkkanad,9444,26880,36324
474,475,Morayur,8830,25130,33960
475,476,Muthuvallur,6767,19261,26028
476,477,Nannambra,10541,30002,40543
477,478,Nannamukku,7537,21452,28989
478,479,Niramaruthoor,7760,22086,29846
479,480,Othukkungal,10176,28963,39139
480,481,Ozhur,8844,25172,34016
481,482,Pallickal,12210,34752,46962
482,483,Pandikkad,14355,40858,55213
483,484,Parappur,9430,26840,36270
484,485,Perumana klari,7092,20186,27278
485,486,Perumpadappu,7739,22027,29766
486,487,Peruvallur,9085,25856,34941
487,488,Ponmala,8820,25102,33922
488,489,Ponmundam,6722,19133,25855
489,490,Pookkottur,9785,27851,37636
490,491,Porur,7686,21875,29561
491,492,Pulamanthole,9824,27961,37785
492,493,Pulikkal,10435,29698,40133
493,494,Pulpatta,11098,31585,42683
494,495,Purathur,8298,23617,31915
495,496,Tanalur,12474,35502,47976
496,497,Tavanur,8970,25530,34500
497,498,Thalakkad,9313,26507,35820
498,499,Thenhippalam,8332,23713,32045
499,500,Thennala,7589,21601,29190
500,501,Thirunavaya,11920,33928,45848
501,502,Thiruvali,7211,20523,27734
502,503,Thuvvur,10477,29820,40297
503,504,Trikkalangode,13543,38547,52090
504,505,Triprangode,10703,30464,41167
505,506,Urangattiri,10483,29835,40318
506,507,Valavannur,8621,24538,33159
507,508,Vallikkunnu,12482,35524,48006
508,509,Vazhikkadavu,12304,35018,47322
509,510,Veliyancode,8464,24090,32554
510,511,Vettathur,9739,27717,37456
511,512,Vettom,7307,20797,28104
512,513,Wandoor,12743,36270,49013
513,514,Agali,12928,22013,34941
514,515,Akathethara,10579,18013,28592
515,516,Alanallur,19445,33109,52554
516,517,Alathur,9886,16834,26720
517,518,Ambalapara,14162,24114,38276
518,519,Anakkara,9139,15560,24699
519,520,Ananganadi,9045,15400,24445
520,521,Ayiloor,10515,17904,28419
521,522,Chalavara,8682,14784,23466
522,523,Chalisseri,8968,15270,24238
523,524,Elappully,14442,24590,39032
524,525,Elavancherry,6638,11302,17940
525,526,Erimayur,11339,19306,30645
526,527,Eruthempathy,6718,11440,18158
527,528,Kadampazhipuram,11657,19849,31506
528,529,Kannadi,8891,15139,24030
529,530,Kannambra,9281,15803,25084
530,531,Kappur,11595,19742,31337
531,532,Karakurissi,10360,17639,27999
532,533,Karimba,10168,17312,27480
533,534,Karimpuzha,11883,20234,32117
534,535,Kavassery,10731,18272,29003
535,536,Keralassery,5558,9464,15022
536,537,Kizhakkancherry,15143,25785,40928
537,538,Kodumba,8816,15012,23828
538,539,Koduvayur,10803,18394,29197
539,540,Kollengode,10947,18640,29587
540,541,Kongad,11107,18913,30020
541,542,Koppam,11163,19006,30169
542,543,Kottappadam,16015,27268,43283
543,544,Kottayi,8154,13883,22037
544,545,Kozhinjampara,10638,18113,28751
545,546,Kulukkallur,10349,17622,27971
546,547,Kumaramputhur,12158,20702,32860
547,548,Kuthanoor,8840,15051,23891
548,549,Kuzhalmannam,10125,17241,27366
549,550,Lakkidi-perur,12157,20701,32858
550,551,Malampuzha,5357,9122,14479
551,552,Mankara,6931,11801,18732
552,553,Mannur,7331,12482,19813
553,554,Mathur,9256,15760,25016
554,555,Melarcode,9653,16437,26090
555,556,Mundur,11340,19308,30648
556,557,Muthalamada,13712,23348,37060
557,558,Muthuthala,9199,15662,24861
558,559,Nagalassery,10214,17392,27606
559,560,Nalleppilly,12104,20609,32713
560,561,Nellaya,13374,22772,36146
561,562,Nelliampathy,2052,3493,5545
562,563,Nemmara,13523,23026,36549
563,564,Ongallur,16010,27261,43271
564,565,Pallassana,8780,14949,23729
565,566,Parali,12747,21704,34451
566,567,Paruthur,9856,16782,26638
567,568,Pattencherry,9627,16391,26018
568,569,Pattithara,12268,20889,33157
569,570,Peringottukurissi,9278,15797,25075
570,571,Perumatty,11265,19180,30445
571,572,Peruvemba,7145,12167,19312
572,573,Pirayiri,15303,26056,41359
573,574,Polpully,6105,10395,16500
574,575,Puducode,8008,13634,21642
575,576,Puduppariyaram,14588,24840,39428
576,577,Pudur,4503,7667,12170
577,578,Pudusseri,18938,32247,51185
578,579,Puthunagaram,6620,11272,17892
579,580,Sholayar,6367,10840,17207
580,581,Sreekrishnapuram,8093,13780,21873
581,582,Tachampara,6692,11395,18087
582,583,Tarur,9686,16492,26178
583,584,Thachanattukara,9868,16801,26669
584,585,Thenkara,10925,18602,29527
585,586,Thenkurissi,10063,17133,27196
586,587,Thirumittacode,11839,20159,31998
587,588,Thiruvegapura,12559,21383,33942
588,589,Thrikkadeeri,9865,16797,26662
589,590,Thrithala,10285,17511,27796
590,591,Vadakarapathy,9790,16669,26459
591,592,Vadakkancheri,13309,22660,35969
592,593,Vadavannur,6337,10789,17126
593,594,Vallapuzha,10367,17651,28018
594,595,Vandazhy,11814,20115,31929
595,596,Vaniamkulam,11858,20192,32050
596,597,Vellinezhi,6327,10774,17101
597,598,Vilayur,8654,14735,23389
598,599,Anicadu,4813,9772,14585
599,600,Aranmula,9469,19226,28695
600,601,Aruvapulam,6447,13089,19536
601,602,Ayiroor,7193,14604,21797
602,603,Chenneerkara,6311,12813,19124
603,604,Cherukole,4016,8153,12169
604,605,Chittar,5453,11072,16525
605,606,Elanthoor,5064,10280,15344
606,607,Enadimangalam,6749,13704,20453
607,608,Erathu,8210,16670,24880
608,609,Eraviperoor,8307,16865,25172
609,610,Ezhamkulam,10772,21870,32642
610,611,Ezhumattoor,6204,12595,18799
611,612,Kadampanadu,8880,18029,26909
612,613,Kadapra,6873,13954,20827
613,614,Kalanjoor,10576,21471,32047
614,615,Kallooppara,5584,11337,16921
615,616,Kaviyoor,5561,11291,16852
616,617,Kodumon,9141,18559,27700
617,618,Koipuram,8720,17705,26425
618,619,Konni,9999,20300,30299
619,620,Kottangal,5664,11500,17164
620,621,Kozhencherry,3967,8054,12021
621,622,Kulanada,7806,15849,23655
622,623,Kunnathanam,6789,13784,20573
623,624,Kuttoor,6485,13167,19652
624,625,Malayalapuzha,5621,11412,17033
625,626,Mallappally,5845,11867,17712
626,627,Mallapuzhassery,3889,7895,11784
627,628,Mezhuveli,4797,9738,14535
628,629,Mylapra,3385,6873,10258
629,630,Naranganam,5429,11023,16452
630,631,Nedumpuram,4221,8570,12791
631,632,Niranam,4437,9008,13445
632,633,Omallur,5812,11799,17611
633,634,Pallickal,13773,27964,41737
634,635,Pandalam Thekkekara,6061,12305,18366
635,636,Peringara,6930,14071,21001
636,637,Pramadom,10313,20938,31251
637,638,Puramattom,4643,9426,14069
638,639,Ranni,4437,9008,13445
639,640,Thannithodu,4294,8718,13012
640,641,Thottapuzhassery,4775,9694,14469
641,642,Vadasserikkara,7179,14576,21755
642,643,Vallicode,6695,13592,20287
643,644,Amboori,5890,10030,15920
644,645,Anad,11724,19963,31687
645,646,Andoorkonam,11389,19392,30781
646,647,Aruvikkara,12357,21039,33396
647,648,Aryanad,9754,16607,26361
648,649,Athiyannoor,9980,16993,26973
649,650,Azhoor,10134,17256,27390
650,651,Chemmaruthy,12004,20440,32444
651,652,Chenkal,13521,23023,36544
652,653,Edava,9618,16376,25994
653,654,Kadakkavoor,8567,14588,23155
654,655,Kadinamkulam,17196,29280,46476
655,656,Kallara,9562,16282,25844
656,657,Kallikkadu,5015,8538,13553
657,658,Kalliyoor,15102,25714,40816
658,659,Kanjiramkulam,6964,11857,18821
659,660,Karakulam,19394,33023,52417
660,661,Karavaram,11344,19316,30660
661,662,Karode,11873,20217,32090
662,663,Karumkulam,10467,17823,28290
663,664,Kilimanoor,7591,12924,20515
664,665,Kizhuvilam,12173,20728,32901
665,666,Kollayil,9278,15799,25077
666,667,Kottukal,12334,21002,33336
667,668,Kulathoor,12051,20518,32569
668,669,Kunnathukal,14583,24831,39414
669,670,Madavoor,7804,13287,21091
670,671,Malayinkeezh,13715,23353,37068
671,672,Manamboor,8583,14615,23198
672,673,Manickal,14025,23881,37906
673,674,Maranalloor,13628,23204,36832
674,675,Nagaroor,9809,16703,26512
675,676,Navaikulam,15060,25642,40702
676,677,Nellanad,9613,16368,25981
677,678,Ottasekharamangalam,6954,11840,18794
678,679,Ottoor,5951,10134,16085
679,680,Pallichal,16731,28488,45219
680,681,Pallickal,6253,10647,16900
681,682,Panavoor,7529,12819,20348
682,683,Pangode,10744,18295,29039
683,684,Parassala,19337,32926,52263
684,685,Pazhayakunnummel,9105,15503,24608
685,686,Perumkadavila,8652,14733,23385
686,687,Pulimath,11948,20345,32293
687,688,Pullampara,8072,13745,21817
688,689,Thiruppuram,6992,11906,18898
689,690,Tholicode,9351,15923,25274
690,691,Uzhamalakkal,7945,13527,21472
691,692,Vakkom,6117,10416,16533
692,693,Vamanapuram,7784,13254,21038
693,694,Vellanad,11528,19628,31156
694,695,Vellarada,14876,25330,40206
695,696,Vembayam,14293,24337,38630
696,697,Venganoor,13306,22657,35963
